employee_id,name,email,age,gender,salary,department,hire_date,is_active
e3e70682-c209-4cac-a29f-6fbed82c07cd,David Dixon,thull@example.com,46,Female,44048.44,Finance,2019-12-23,False
81332876-37eb-4cd9-a87a-1613e443df78,Charles Davis,vanessa89@example.org,47,Female,136780.0,Sales,2019-07-01,True
d9b8a714-e61a-441c-92e0-c8b2bad640fb,Kaitlyn Garcia,ostewart@example.org,54,Male,68183.78,Engineering,2026-01-24,False
85776e9a-dd84-439e-b154-5a137a1d5006,Robert Dunn,davismary@example.net,56,Non-Binary,121021.72,Marketing,2024-08-24,False
9ca5499d-004a-4545-a011-6be5ab0c1681,Sean Sanchez MD,leeashley@example.org,28,Non-Binary,47374.24,Sales,2024-06-06,False
72ae2244-8b01-43c1-8d9d-2b7d247a8333,Willie Golden,jrodriguez@example.com,57,Male,75379.13,Sales,2023-06-19,True
ec188efb-d080-466e-952f-233a8c25166a,Tracey Morrison,sean96@example.com,57,Female,84269.34,Finance,2022-02-25,False
d24bace4-307b-4326-af12-05544a5308cc,Lonnie Douglas,rjones@example.org,25,Non-Binary,131599.45,Engineering,2025-03-01,False
148b2758-d7ab-4928-89e4-69e6ec62b2c8,Tammy Fernandez,hmassey@example.com,64,Non-Binary,40114.28,Hr,2021-08-13,False
e5214606-3717-4e84-9977-e9933c49d76f,Samantha Barnes,shannon51@example.com,37,Non-Binary,72520.44,Engineering,2022-07-11,True
55d44936-a151-4607-964a-870c7c879b74,Dana Dennis,thorntonnathan@example.org,58,Male,63861.59,Marketing,2019-09-21,False
c87a7463-19c1-4a0d-8feb-d845d0dfae43,Michael Williams,johnsoncynthia@example.net,27,Male,139322.16,Finance,2024-09-12,False
5ec17dbe-176e-41b1-a426-4cd51ea45cd6,Audrey Jacobs,susanlopez@example.org,28,Female,95126.72,Engineering,2021-03-10,False
efdd35f8-0fa3-4266-8cfd-ba9bba26d851,Kimberly Oliver,chad14@example.com,56,Male,136383.85,Finance,2020-10-03,False
0a14b90a-7795-4986-80ee-526e0fa07a3f,Melissa Myers,michael79@example.org,50,Male,99628.69,Hr,2023-05-17,False
0edc6d2b-c470-40e7-b76f-bfb83412fc12,Brooke Martin,david72@example.org,58,Male,69032.95,Marketing,2021-02-10,True
dff3334b-91b1-4f5d-a66c-d36e68ef8f5f,Emily Howard,eric07@example.net,24,Non-Binary,138129.97,Sales,2017-03-09,False
47e7f593-8b58-45ca-8bb2-c3f0bd30291a,Philip Olson,emily99@example.org,26,Male,107872.4,Marketing,2023-07-22,True
d432f8db-6a17-4c1c-bf9c-c545635518f7,April Lee,ernest37@example.com,24,Male,129817.31,Finance,2023-07-02,False
6a1689ad-dfe1-4307-9172-5f0aac7c8803,Shane Bradley,martincaleb@example.net,55,Female,92179.01,Marketing,2017-12-22,True
e8754cd3-7cbd-4025-a28b-c9ff870f084c,Nicole Henson,dnguyen@example.org,65,Non-Binary,122526.33,Hr,2024-06-27,False
6a46721a-cffa-4cdd-b963-a7efe00111e5,Zachary Schultz,monroedavid@example.org,50,Female,106024.54,Sales,2020-05-31,True
00de59f5-50f0-4c2b-aae0-4d52adb328cb,Mitchell Smith,leecharlene@example.org,42,Non-Binary,51534.97,Finance,2025-02-18,False
2ea60b99-fa7f-48bf-b044-284a47acf2f6,Scott Sanders,johnsonrobin@example.org,34,Male,41620.9,Sales,2025-01-04,True
d138d150-8557-416a-a750-2a812227d96d,Hannah Wiggins,melissa00@example.org,36,Female,119458.3,Sales,2023-03-17,False
5decc06a-f24d-4dd8-9091-0bdc8ef066d4,Susan Williams,djoseph@example.net,25,Male,118311.85,Marketing,2020-10-01,True
35354579-2da4-4da1-89b5-b368df14c612,Eddie Taylor,mathew51@example.com,58,Non-Binary,131001.6,Finance,2024-03-11,True
29f2c3c7-4505-44f6-8a8c-46c709215f4f,Kevin Ward,kellywoods@example.org,23,Male,103499.99,Finance,2025-09-26,True
85e69ea9-db66-4fda-adf9-67474ed13553,Elizabeth Houston,robert18@example.com,47,Male,77013.99,Engineering,2021-02-19,True
